ref	value
ARD1	ARDUINOPINS
C1	.1u
C3	1u
C4	.1u
C5	100n
C6	100n
C7	100n
C8	.1u
C9	.1u
C11	1u
C12	10u
C13	.1u
D1	4004
D2	4004
D3	LED
D4	DIODE
D5	4004
D6	DIODE
D7	DIODE
D8	DIODE
P1	CONN_6
P2	CONN_2
P3	BNC
P4	BNC
Q1	TIP122
Q2	TIP122
Q3	TIP122
R1	2.2K
R2	1K 1%
R3	22K
R4	22K
R5	1K
R6	10K
R7	10K
R8	1K
R9	1K
R10	2.2K
R11	2.2K
R12	1K
R13	100K
R14	1K
R15	1K  .1%
R16	10K
R19	1K
U1A	MCP6244
U1B	MCP6244
U1C	MCP6244
U1D	MCP6244
U2A	MCP6242
U2B	MCP6242
U3	MC78L05
U4	ADS1015
